t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592984429,3,3711.565335,2950.324447,2214.142060,605.192328,2885.383131,3711.565335,3711.565335,3711.565335,3711.565335,3711.565335,0.302400,0.200000,0.200000,0.200000,calls/second,milliseconds
1592984439,7,3711.565335,2757.611276,1626.484154,733.865456,2885.383131,3505.898906,3711.565335,3711.565335,3711.565335,3711.565335,0.351606,0.214713,0.203251,0.201102,calls/second,milliseconds
1592984449,10,4044.717015,2878.877347,1626.484154,826.561637,3313.751519,3505.898906,4044.717015,4044.717015,4044.717015,4044.717015,0.334333,0.257870,0.212952,0.204402,calls/second,milliseconds
1592984459,13,4044.717015,2787.572151,1626.484154,807.833785,2885.383131,3484.209184,4044.717015,4044.717015,4044.717015,4044.717015,0.325743,0.264977,0.215833,0.205461,calls/second,milliseconds
1592984469,17,4044.717015,2856.712647,1626.484154,802.123780,2885.383131,3711.565335,4044.717015,4044.717015,4044.717015,4044.717015,0.340615,0.269714,0.218565,0.206502,calls/second,milliseconds
1592984479,20,4163.140365,2969.084548,1626.484154,809.181779,3313.751519,3711.565335,4163.140365,4163.140365,4163.140365,4163.140365,0.333864,0.289716,0.224514,0.208641,calls/second,milliseconds
1592984489,23,4163.140365,3066.561642,1626.484154,763.445388,3381.749689,3713.427560,4163.140365,4163.140365,4163.140365,4163.140365,0.329005,0.275943,0.223710,0.208545,calls/second,milliseconds
1592984499,26,4335.352476,3127.975494,1626.484154,787.290509,3381.749689,3713.427560,4335.352476,4335.352476,4335.352476,4335.352476,0.325376,0.294988,0.229489,0.210661,calls/second,milliseconds
1592984509,29,4335.352476,3166.367465,1626.484154,736.873617,3430.001445,3692.680360,4335.352476,4335.352476,4335.352476,4335.352476,0.322557,0.280405,0.228523,0.210543,calls/second,milliseconds
1592984519,33,4335.352476,3043.378450,1626.484154,724.596274,3335.231549,3527.742862,4163.140365,4335.352476,4335.352476,4335.352476,0.330313,0.298765,0.234144,0.212636,calls/second,milliseconds
