t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592984429,4,3,1.552750,0,1.120443,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1592984439,8,7,3.717993,0,2.279257,4.000000,6.000000,7.000000,7.000000,7.000000,7.000000
1592984449,11,10,5.402643,0,3.143004,6.000000,8.000000,10.000000,10.000000,10.000000,10.000000
1592984459,14,13,7.167703,0,4.002138,7.000000,11.000000,13.000000,13.000000,13.000000,13.000000
1592984469,18,17,9.624408,0,5.123797,10.000000,14.000000,17.000000,17.000000,17.000000,17.000000
1592984479,21,20,11.553332,0,5.953107,12.000000,17.000000,20.000000,20.000000,20.000000,20.000000
1592984489,24,23,13.585754,0,6.772718,15.000000,20.000000,23.000000,23.000000,23.000000,23.000000
1592984499,27,26,15.683621,0,7.564314,17.000000,22.000000,26.000000,26.000000,26.000000,26.000000
1592984509,30,29,17.866929,0,8.331163,19.000000,25.000000,29.000000,29.000000,29.000000,29.000000
1592984519,34,33,20.787704,0,9.289936,23.000000,29.000000,33.000000,33.000000,33.000000,33.000000
1592984529,37,36,23.020160,0,9.984532,25.000000,32.000000,36.000000,36.000000,36.000000,36.000000
1592984539,40,39,25.293786,0,10.660645,28.000000,34.000000,39.000000,39.000000,39.000000,39.000000
1592984549,43,42,27.638697,0,11.323147,30.000000,37.000000,42.000000,42.000000,42.000000,42.000000
1592984559,47,46,30.817396,0,12.165431,34.000000,41.000000,46.000000,46.000000,46.000000,46.000000
1592984569,51,50,34.032896,0,12.962477,37.000000,45.000000,49.000000,50.000000,50.000000,50.000000
1592984579,54,53,36.494954,0,13.541774,40.000000,48.000000,52.000000,53.000000,53.000000,53.000000
1592984589,59,58,40.630689,0,14.452900,44.000000,52.000000,57.000000,58.000000,58.000000,58.000000
1592984599,63,62,43.820327,0,15.130793,48.000000,56.000000,61.000000,62.000000,62.000000,62.000000
1592984609,67,66,47.096145,0,15.816055,51.000000,60.000000,65.000000,66.000000,66.000000,66.000000
1592984619,70,69,49.639753,0,16.328209,54.000000,63.000000,68.000000,69.000000,69.000000,69.000000
1592984629,74,73,53.132117,0,16.990510,58.000000,67.000000,72.000000,73.000000,73.000000,73.000000
1592984639,78,77,56.685280,0,17.609103,61.000000,71.000000,76.000000,77.000000,77.000000,77.000000
1592984649,81,80,59.336446,0,18.042057,64.000000,74.000000,79.000000,80.000000,80.000000,80.000000
1592984659,84,83,62.078983,0,18.466683,67.000000,77.000000,82.000000,83.000000,83.000000,83.000000
1592984669,87,86,64.916014,0,18.868875,70.000000,80.000000,85.000000,86.000000,86.000000,86.000000
1592984679,90,89,67.803867,0,19.235967,74.000000,83.000000,88.000000,89.000000,89.000000,89.000000
1592984689,93,92,70.775980,0,19.569863,77.000000,86.000000,91.000000,92.000000,92.000000,92.000000
1592984699,96,95,73.800353,0,19.861772,80.000000,89.000000,94.000000,95.000000,95.000000,95.000000
1592984709,99,98,76.847186,0,20.107936,83.000000,92.000000,97.000000,98.000000,98.000000,98.000000
1592984719,102,101,79.915520,0,20.314384,86.000000,95.000000,100.000000,101.000000,101.000000,101.000000
1592984729,105,104,82.969782,0,20.483029,90.000000,98.000000,103.000000,104.000000,104.000000,104.000000
1592984739,109,108,86.969263,0,20.661412,94.000000,102.000000,107.000000,108.000000,108.000000,108.000000
1592984749,112,111,89.915934,0,20.777435,97.000000,105.000000,110.000000,111.000000,111.000000,111.000000
1592984759,117,116,94.701069,0,20.955965,101.000000,110.000000,115.000000,116.000000,116.000000,116.000000
1592984769,120,119,97.588020,0,21.070282,104.000000,113.000000,118.000000,119.000000,119.000000,119.000000
1592984779,124,123,101.414077,0,21.219108,108.000000,117.000000,122.000000,123.000000,123.000000,123.000000
1592984789,128,127,105.179341,0,21.374183,112.000000,121.000000,126.000000,127.000000,127.000000,127.000000
1592984799,132,131,108.970586,0,21.541805,115.000000,125.000000,130.000000,131.000000,131.000000,131.000000
1592984809,137,136,113.650733,0,21.753343,120.000000,130.000000,135.000000,136.000000,136.000000,136.000000
1592984819,141,140,117.242868,0,21.944963,124.000000,133.000000,139.000000,140.000000,140.000000,140.000000
1592984829,145,144,120.886737,0,22.164567,127.000000,137.000000,143.000000,144.000000,144.000000,144.000000
1592984839,148,147,123.665938,0,22.343745,130.000000,140.000000,146.000000,147.000000,147.000000,147.000000
1592984849,151,150,126.574763,0,22.524579,133.000000,143.000000,149.000000,150.000000,150.000000,150.000000
1592984859,155,154,130.552557,0,22.746605,137.000000,148.000000,153.000000,154.000000,154.000000,154.000000
1592984869,158,157,133.557150,0,22.889642,140.000000,151.000000,156.000000,157.000000,157.000000,157.000000
1592984879,162,161,137.550364,0,23.053855,145.000000,155.000000,160.000000,161.000000,161.000000,161.000000
1592984889,165,164,140.551504,0,23.160771,148.000000,158.000000,163.000000,164.000000,164.000000,164.000000
1592984899,168,167,143.592526,0,23.253715,151.000000,161.000000,166.000000,167.000000,167.000000,167.000000
1592984909,172,171,147.682133,0,23.346843,155.000000,165.000000,170.000000,171.000000,171.000000,171.000000
1592984919,175,174,150.738081,0,23.400698,158.000000,168.000000,173.000000,174.000000,174.000000,174.000000
1592984929,178,177,153.814966,0,23.438289,161.000000,171.000000,176.000000,177.000000,177.000000,177.000000
1592984939,181,180,156.884121,0,23.462921,164.000000,174.000000,179.000000,180.000000,180.000000,180.000000
1592984949,185,184,161.020574,0,23.475294,168.000000,178.000000,183.000000,184.000000,184.000000,184.000000
1592984959,188,187,164.130778,0,23.467433,172.000000,181.000000,186.000000,187.000000,187.000000,187.000000
1592984969,192,191,168.231965,0,23.439597,176.000000,185.000000,190.000000,191.000000,191.000000,191.000000
1592984979,195,194,171.293202,0,23.413962,179.000000,188.000000,193.000000,194.000000,194.000000,194.000000
1592984989,198,197,174.410889,0,23.380207,182.000000,191.000000,196.000000,197.000000,197.000000,197.000000
1592984999,201,200,177.470700,0,23.338555,185.000000,194.000000,199.000000,200.000000,200.000000,200.000000
1592985009,206,205,182.467867,0,23.270650,190.000000,199.000000,204.000000,205.000000,205.000000,205.000000
1592985019,209,208,185.406625,0,23.246790,193.000000,202.000000,207.000000,208.000000,208.000000,208.000000
1592985029,212,211,188.423792,0,23.227036,196.000000,205.000000,210.000000,211.000000,211.000000,211.000000
1592985039,215,214,191.518625,0,23.202514,199.000000,208.000000,213.000000,214.000000,214.000000,214.000000
1592985049,218,217,194.628935,0,23.167224,202.000000,211.000000,216.000000,217.000000,217.000000,217.000000
1592985059,222,221,198.777583,0,23.102619,206.000000,215.000000,220.000000,221.000000,221.000000,221.000000
1592985069,225,224,201.806401,0,23.053017,209.000000,218.000000,223.000000,224.000000,224.000000,224.000000
1592985079,229,228,205.771661,0,22.996655,213.000000,222.000000,227.000000,228.000000,228.000000,228.000000
1592985089,233,232,209.700500,0,22.959752,217.000000,226.000000,231.000000,232.000000,232.000000,232.000000
1592985099,237,236,213.592070,0,22.943888,221.000000,230.000000,235.000000,236.000000,236.000000,236.000000
1592985109,241,240,217.395368,0,22.953388,224.000000,234.000000,239.000000,240.000000,240.000000,240.000000
1592985119,244,243,220.285123,0,22.977585,227.000000,237.000000,242.000000,243.000000,243.000000,243.000000
1592985129,247,246,223.242552,0,23.009508,230.000000,240.000000,245.000000,246.000000,246.000000,246.000000
1592985139,251,250,227.138313,0,23.051583,234.000000,244.000000,249.000000,250.000000,250.000000,250.000000
1592985149,254,253,230.100055,0,23.091293,237.000000,247.000000,252.000000,253.000000,253.000000,253.000000
1592985159,257,256,233.126659,0,23.126745,240.000000,250.000000,255.000000,256.000000,256.000000,256.000000
1592985169,261,260,237.213730,0,23.158454,244.000000,254.000000,259.000000,260.000000,260.000000,260.000000
1592985179,264,263,240.185849,0,23.173928,247.000000,257.000000,262.000000,263.000000,263.000000,263.000000
1592985189,269,268,245.117324,0,23.202695,252.000000,262.000000,267.000000,268.000000,268.000000,268.000000
1592985199,273,272,249.001966,0,23.239194,256.000000,266.000000,271.000000,272.000000,272.000000,272.000000
1592985209,276,275,251.939422,0,23.274435,259.000000,269.000000,274.000000,275.000000,275.000000,275.000000
