t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592984770,3,2765.364146,2647.259282,2431.000241,148.978803,2733.277861,2765.364146,2765.364146,2765.364146,2765.364146,2765.364146,0.303115,0.200000,0.200000,0.200000,calls/second,milliseconds
1592984780,6,3759.443530,2781.134273,1909.920783,586.598634,2765.364146,3066.511416,3759.443530,3759.443530,3759.443530,3759.443530,0.301884,0.230704,0.206557,0.202210,calls/second,milliseconds
1592984790,10,3907.436641,2886.665498,1909.920783,608.418233,2733.277861,3259.118521,3907.436641,3907.436641,3907.436641,3907.436641,0.334722,0.241981,0.209648,0.203294,calls/second,milliseconds
1592984800,14,4687.177032,2801.634811,1341.987693,901.265892,2697.456950,3259.118521,4687.177032,4687.177032,4687.177032,4687.177032,0.351096,0.266240,0.215888,0.205467,calls/second,milliseconds
1592984810,17,4687.177032,2719.462870,1341.987693,811.034880,2431.000241,3066.511416,4687.177032,4687.177032,4687.177032,4687.177032,0.340859,0.286775,0.221924,0.207617,calls/second,milliseconds
1592984820,20,4687.177032,2867.621934,1341.987693,892.900715,2697.456950,3754.491345,4687.177032,4687.177032,4687.177032,4687.177032,0.334013,0.289444,0.224511,0.208640,calls/second,milliseconds
1592984830,23,4687.177032,2891.620157,1341.987693,824.275543,2732.668076,3545.849524,4424.591074,4687.177032,4687.177032,4687.177032,0.329161,0.291704,0.227013,0.209653,calls/second,milliseconds
1592984840,28,4687.177032,2752.038345,1023.727110,1019.112477,2697.456950,3545.849524,4462.105329,4687.177032,4687.177032,4687.177032,0.350536,0.309608,0.232739,0.211762,calls/second,milliseconds
1592984850,33,4687.177032,2629.636237,1023.727110,961.308204,2511.583100,3259.118521,4462.105329,4687.177032,4687.177032,4687.177032,0.367171,0.323485,0.238222,0.213842,calls/second,milliseconds
1592984860,38,4687.177032,2450.296505,1023.727110,995.473164,2375.377799,3208.417605,4424.591074,4462.105329,4687.177032,4687.177032,0.380476,0.349944,0.246777,0.217001,calls/second,milliseconds
1592984870,42,4687.177032,2442.606979,1023.727110,965.724572,2375.377799,3208.417605,4424.591074,4462.105329,4687.177032,4687.177032,0.382251,0.372341,0.255051,0.220125,calls/second,milliseconds
