t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592984821,2,4092.403466,3837.008388,3596.486362,247.847012,3596.486362,4092.403466,4092.403466,4092.403466,4092.403466,4092.403466,0.201871,0.200000,0.200000,0.200000,calls/second,milliseconds
1592984831,6,4092.403466,3211.219231,1141.756388,1003.012941,3558.068575,3752.846193,4092.403466,4092.403466,4092.403466,4092.403466,0.301699,0.215991,0.203306,0.201108,calls/second,milliseconds
1592984841,9,4092.403466,3250.265078,1141.756388,834.452720,3558.068575,3752.846193,4092.403466,4092.403466,4092.403466,4092.403466,0.301105,0.228249,0.206448,0.202198,calls/second,milliseconds
1592984851,12,4142.156052,3051.771533,1141.756388,960.164257,3461.753100,3864.748700,4142.156052,4142.156052,4142.156052,4142.156052,0.300826,0.238625,0.209488,0.203275,calls/second,milliseconds
1592984861,16,4294.370536,2998.185427,1141.756388,1024.532011,3461.753100,3864.748700,4294.370536,4294.370536,4294.370536,4294.370536,0.320707,0.247408,0.212428,0.204341,calls/second,milliseconds
1592984871,18,4294.370536,3145.037825,1141.756388,1002.210727,3569.945774,3934.969597,4294.370536,4294.370536,4294.370536,4294.370536,0.300551,0.269555,0.218523,0.206497,calls/second,milliseconds
1592984881,21,4294.370536,3178.020675,1141.756388,910.375376,3558.068575,3864.748700,4294.370536,4294.370536,4294.370536,4294.370536,0.300467,0.274868,0.221221,0.207533,calls/second,milliseconds
1592984891,26,4294.370536,2967.120928,1141.756388,919.645008,3349.862150,3747.140913,4142.156052,4294.370536,4294.370536,4294.370536,0.325452,0.279365,0.223831,0.208558,calls/second,milliseconds
1592984901,30,4294.370536,2830.988261,1141.756388,884.786583,3058.926806,3569.945774,4142.156052,4294.370536,4294.370536,4294.370536,0.333741,0.312598,0.232858,0.211775,calls/second,milliseconds
1592984911,34,4294.370536,2791.542884,1141.756388,854.187065,2826.734913,3569.945774,4092.403466,4294.370536,4294.370536,4294.370536,0.340359,0.326015,0.238337,0.213855,calls/second,milliseconds
1592984921,38,4294.370536,2772.403632,1141.756388,820.821255,2898.417481,3372.509912,3954.894296,4142.156052,4294.370536,4294.370536,0.345798,0.337373,0.243637,0.215912,calls/second,milliseconds
1592984931,42,4294.370536,2667.601858,1141.756388,826.322646,2826.734913,3349.862150,3954.894296,4142.156052,4294.370536,4294.370536,0.350317,0.346988,0.248763,0.217946,calls/second,milliseconds
1592984941,45,4294.370536,2685.877773,1141.756388,829.528753,2634.772237,3358.733973,3934.969597,4142.156052,4294.370536,4294.370536,0.346454,0.355126,0.253722,0.219957,calls/second,milliseconds
1592984951,50,4294.370536,2669.882077,1141.756388,809.355467,2707.323987,3349.862150,3934.969597,4092.403466,4294.370536,4294.370536,0.357419,0.363294,0.258572,0.221953,calls/second,milliseconds
1592984961,54,4294.370536,2594.942345,1046.906206,838.546760,2707.323987,3203.449977,3865.634447,4092.403466,4142.156052,4294.370536,0.360263,0.368929,0.263208,0.223920,calls/second,milliseconds
1592984971,57,4294.370536,2685.896750,1046.906206,850.502051,2707.323987,3358.733973,3870.929324,3954.894296,4142.156052,4294.370536,0.356500,0.357708,0.264387,0.224758,calls/second,milliseconds
1592984981,60,4294.370536,2762.257703,1046.906206,837.375299,2829.860187,3372.509912,3870.929324,3954.894296,4142.156052,4294.370536,0.353170,0.364200,0.268833,0.226694,calls/second,milliseconds
1592984991,65,4294.370536,2643.038671,1046.906206,874.312272,2707.323987,3372.509912,3870.929324,3934.969597,4142.156052,4294.370536,0.361330,0.370975,0.273188,0.228615,calls/second,milliseconds
1592985001,68,4294.370536,2677.707011,1046.906206,835.947436,2750.961994,3456.937784,3865.634447,3934.969597,4092.403466,4294.370536,0.358101,0.359440,0.274040,0.229401,calls/second,milliseconds
1592985011,71,4294.370536,2765.892936,1046.906206,842.936746,2765.339241,3457.138048,3944.643364,3944.643364,4092.403466,4294.370536,0.355193,0.349675,0.274863,0.230178,calls/second,milliseconds
1592985021,73,4922.833463,2866.469905,1046.906206,919.465021,2829.860187,3459.715860,4142.156052,4922.833463,4922.833463,4922.833463,0.347799,0.341410,0.275660,0.230947,calls/second,milliseconds
1592985031,77,4922.833463,2915.162052,1046.906206,892.091041,2829.860187,3676.461902,3951.697725,4922.833463,4922.833463,4922.833463,0.350172,0.334413,0.276431,0.231706,calls/second,milliseconds
1592985041,80,4922.833463,2974.585731,1046.906206,918.144001,2909.805805,3726.648254,4312.581821,4922.833463,4922.833463,4922.833463,0.347993,0.344482,0.280482,0.233566,calls/second,milliseconds
1592985051,82,4922.833463,3061.462937,1046.906206,920.487865,3185.237540,3760.620291,4312.581821,4922.833463,4922.833463,4922.833463,0.341822,0.322301,0.277843,0.233195,calls/second,milliseconds
1592985061,86,4922.833463,3040.711532,1046.906206,927.482041,3198.297561,3801.827354,4312.581821,4922.833463,4922.833463,4922.833463,0.344156,0.335508,0.281903,0.235044,calls/second,milliseconds
1592985071,90,4922.833463,2990.925218,1046.906206,902.213676,3093.719043,3760.620291,4294.370536,4922.833463,4922.833463,4922.833463,0.346300,0.330696,0.282523,0.235765,calls/second,milliseconds
1592985081,93,4922.833463,2960.850011,1046.906206,920.253716,2909.805805,3760.620291,4141.361079,4312.581821,4922.833463,4922.833463,0.344584,0.325345,0.283069,0.236472,calls/second,milliseconds
1592985091,97,4922.833463,2967.282825,1046.906206,895.517292,3185.237540,3726.648254,4141.361079,4312.581821,4922.833463,4922.833463,0.346562,0.336806,0.286902,0.238279,calls/second,milliseconds
1592985101,100,4922.833463,2989.232379,1046.906206,841.683479,3093.719043,3655.424662,4141.361079,4312.581821,4922.833463,4922.833463,0.344960,0.330516,0.287305,0.238958,calls/second,milliseconds
1592985111,105,4922.833463,2840.529498,1046.906206,909.540806,3050.304808,3609.027191,4141.361079,4312.581821,4922.833463,4922.833463,0.350131,0.341183,0.290999,0.240737,calls/second,milliseconds
1592985121,107,4922.833463,2920.795816,1046.906206,915.100790,3090.206750,3609.027191,4135.389538,4312.581821,4312.581821,4922.833463,0.345285,0.348934,0.294518,0.242491,calls/second,milliseconds
1592985131,111,4922.833463,2859.975857,1046.906206,899.226037,3050.304808,3609.027191,4135.389538,4142.156052,4312.581821,4922.833463,0.346994,0.342061,0.294725,0.243129,calls/second,milliseconds
1592985141,115,4922.833463,2879.259911,1046.906206,930.355759,3050.304808,3611.603088,4151.882217,4151.882217,4312.581821,4922.833463,0.348599,0.350956,0.298176,0.244863,calls/second,milliseconds
1592985151,118,4922.833463,2938.822671,1046.906206,902.115973,3090.206750,3655.424662,4151.882217,4151.882217,4312.581821,4922.833463,0.347174,0.342494,0.298209,0.245469,calls/second,milliseconds
1592985161,121,4922.833463,2909.919379,1046.906206,877.616926,3050.304808,3611.603088,4141.361079,4151.882217,4312.581821,4922.833463,0.345822,0.335331,0.298240,0.246068,calls/second,milliseconds
1592985171,124,4922.833463,2927.471060,1046.906206,826.138732,3090.206750,3570.265908,4141.361079,4151.882217,4312.581821,4922.833463,0.344552,0.345259,0.301576,0.247769,calls/second,milliseconds
1592985181,128,4922.833463,2949.380648,1046.906206,804.798227,3130.797767,3570.265908,4114.762224,4151.882217,4151.882217,4922.833463,0.346051,0.338950,0.301552,0.248350,calls/second,milliseconds
1592985191,133,4922.833463,2781.386954,1046.906206,838.655393,2809.151380,3444.959181,4114.762224,4151.882217,4151.882217,4922.833463,0.350102,0.364313,0.308085,0.251133,calls/second,milliseconds
1592985201,135,4922.833463,2870.675426,1046.906206,857.976452,2918.157092,3609.027191,3951.697725,4151.882217,4151.882217,4922.833463,0.346247,0.353801,0.307793,0.251670,calls/second,milliseconds
1592985211,138,4922.833463,2877.702615,1046.906206,862.625818,3090.206750,3596.016313,3951.396025,4151.882217,4151.882217,4922.833463,0.345093,0.346181,0.307565,0.252207,calls/second,milliseconds
1592985221,142,4922.833463,2894.062194,1046.906206,895.449919,3090.206750,3655.424662,3982.103886,4141.361079,4151.882217,4922.833463,0.346437,0.338452,0.307289,0.252732,calls/second,milliseconds
