t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592984824,3,2468.735189,2045.632270,1251.276693,561.948708,2418.047768,2468.735189,2468.735189,2468.735189,2468.735189,2468.735189,0.303263,0.400000,0.400000,0.400000,calls/second,milliseconds
1592984834,7,4273.722239,2719.831133,1251.276693,812.363632,2657.265179,3029.732248,4273.722239,4273.722239,4273.722239,4273.722239,0.352192,0.385287,0.396749,0.398898,calls/second,milliseconds
1592984844,11,4273.722239,2423.312572,1251.276693,765.374153,2468.735189,2746.313024,4273.722239,4273.722239,4273.722239,4273.722239,0.368149,0.403537,0.400161,0.400018,calls/second,milliseconds
1592984854,15,4273.722239,2574.614749,1251.276693,751.238484,2468.735189,3029.732248,4273.722239,4273.722239,4273.722239,4273.722239,0.376154,0.388282,0.396905,0.398916,calls/second,milliseconds
1592984864,18,4549.243838,2720.621511,1251.276693,890.416164,2657.265179,3191.627351,4549.243838,4549.243838,4549.243838,4549.243838,0.360900,0.374090,0.393701,0.397820,calls/second,milliseconds
1592984874,23,4549.243838,2497.453209,1121.064950,901.373983,2407.290139,3174.333053,4549.243838,4549.243838,4549.243838,4549.243838,0.384097,0.394058,0.397213,0.398952,calls/second,milliseconds
1592984884,27,4549.243838,2500.050494,1121.064950,862.220444,2407.290139,3174.333053,4273.722239,4549.243838,4549.243838,4549.243838,0.386390,0.394971,0.397304,0.398964,calls/second,milliseconds
1592984894,33,4549.243838,2338.113846,1028.143206,897.156327,2193.320214,3029.732248,3766.001129,4549.243838,4549.243838,4549.243838,0.413129,0.411734,0.400698,0.400083,calls/second,milliseconds
1592984904,36,4549.243838,2407.444690,1028.143206,909.391231,2228.603819,3174.333053,3766.001129,4549.243838,4549.243838,4549.243838,0.400552,0.408654,0.400621,0.400076,calls/second,milliseconds
1592984914,40,4549.243838,2386.578278,1028.143206,849.907154,2228.603819,3029.732248,3733.886935,4549.243838,4549.243838,4549.243838,0.400489,0.407325,0.400600,0.400075,calls/second,milliseconds
1592984924,43,4742.528907,2615.767501,1028.143206,1001.692389,2418.047768,3441.021353,4549.243838,4742.528907,4742.528907,4742.528907,0.391354,0.390210,0.397275,0.398967,calls/second,milliseconds
1592984934,47,4742.528907,2496.852034,1028.143206,960.427726,2380.427759,3174.333053,4549.243838,4742.528907,4742.528907,4742.528907,0.392073,0.391713,0.397364,0.398978,calls/second,milliseconds
1592984944,51,4742.528907,2459.883305,1028.143206,942.656546,2077.128151,3174.333053,4273.722239,4742.528907,4742.528907,4742.528907,0.392672,0.408976,0.400756,0.400097,calls/second,milliseconds
1592984954,55,4742.528907,2495.462299,1028.143206,945.040499,2077.128151,3289.423996,4048.233127,4742.528907,4742.528907,4742.528907,0.393209,0.407598,0.400732,0.400096,calls/second,milliseconds
1592984964,60,4742.528907,2500.136328,1028.143206,938.132803,2228.603819,3289.423996,4048.233127,4742.528907,4742.528907,4742.528907,0.400328,0.391719,0.397457,0.398993,calls/second,milliseconds
1592984974,63,4742.528907,2547.219567,1028.143206,925.915298,2380.427759,3289.423996,3917.702577,4549.243838,4742.528907,4742.528907,0.394057,0.391712,0.397485,0.398998,calls/second,milliseconds
1592984984,66,4742.528907,2572.253055,1028.143206,900.182544,2457.297630,3335.676031,3917.702577,4549.243838,4742.528907,4742.528907,0.388516,0.392984,0.397568,0.399009,calls/second,milliseconds
1592984994,70,4742.528907,2585.451963,1027.531204,910.024560,2539.456645,3335.676031,3917.702577,4549.243838,4742.528907,4742.528907,0.389152,0.395340,0.397702,0.399026,calls/second,milliseconds
1592985004,73,4742.528907,2720.461136,1027.531204,937.042697,2700.780515,3500.299169,4125.839915,4273.722239,4742.528907,4742.528907,0.384458,0.381343,0.394526,0.397935,calls/second,milliseconds
1592985014,77,4742.528907,2733.633845,1027.531204,905.222134,2616.836266,3500.299169,4125.839915,4125.839915,4742.528907,4742.528907,0.385235,0.369494,0.391455,0.396856,calls/second,milliseconds
1592985024,81,4742.528907,2637.579836,1027.531204,929.936865,2539.456645,3461.765914,4048.233127,4125.839915,4549.243838,4742.528907,0.385940,0.374178,0.391735,0.396891,calls/second,milliseconds
1592985034,85,4742.528907,2597.424467,1027.531204,914.585957,2531.907998,3461.765914,3987.484509,4125.839915,4549.243838,4742.528907,0.386578,0.378142,0.392006,0.396925,calls/second,milliseconds
1592985044,88,4869.739203,2695.943456,1027.531204,987.606760,2531.907998,3516.378565,4125.839915,4869.739203,4869.739203,4869.739203,0.382818,0.381497,0.392268,0.396959,calls/second,milliseconds
1592985054,91,4869.739203,2772.465837,1027.531204,950.482620,2700.780515,3467.131457,4125.839915,4869.739203,4869.739203,4869.739203,0.379364,0.369625,0.389270,0.395891,calls/second,milliseconds
1592985064,97,4869.739203,2570.931795,1027.531204,952.361093,2433.275744,3456.865855,4048.233127,4869.739203,4869.739203,4869.739203,0.388189,0.359576,0.386371,0.394834,calls/second,milliseconds
1592985074,101,4869.739203,2563.514834,1027.531204,953.873440,2457.297630,3456.865855,3987.484509,4869.739203,4869.739203,4869.739203,0.388642,0.395207,0.393320,0.397095,calls/second,milliseconds
1592985084,105,4869.739203,2538.569004,1027.531204,924.078460,2494.614471,3352.890097,3987.484509,4742.528907,4869.739203,4869.739203,0.389065,0.395943,0.393539,0.397127,calls/second,milliseconds
1592985094,108,4869.739203,2628.630330,1027.531204,907.649166,2676.126250,3365.334078,3917.702577,4742.528907,4869.739203,4869.739203,0.385882,0.380574,0.390445,0.396051,calls/second,milliseconds
1592985104,113,4869.739203,2550.106285,1027.531204,863.116449,2433.275744,3329.687086,3851.035028,4125.839915,4869.739203,4869.739203,0.389820,0.383557,0.390758,0.396095,calls/second,milliseconds
1592985114,116,4869.739203,2646.665176,1027.531204,872.273401,2700.780515,3365.334078,3905.440771,4125.839915,4869.739203,4869.739203,0.386827,0.384802,0.391007,0.396132,calls/second,milliseconds
1592985124,120,4869.739203,2586.140445,1027.531204,913.546116,2531.907998,3365.334078,4108.006253,4125.839915,4869.739203,4869.739203,0.387248,0.371144,0.387996,0.395067,calls/second,milliseconds
1592985134,123,4869.739203,2650.832099,1027.531204,898.650020,2595.402419,3442.829470,4048.233127,4108.006253,4742.528907,4869.739203,0.384526,0.374296,0.388335,0.395115,calls/second,milliseconds
1592985144,127,4869.739203,2614.411942,1027.531204,881.367481,2595.402419,3329.687086,3917.702577,4108.006253,4549.243838,4869.739203,0.384995,0.378242,0.388717,0.395169,calls/second,milliseconds
1592985154,131,4869.739203,2582.321309,1027.531204,877.523064,2595.402419,3352.890097,3905.440771,4108.006253,4125.839915,4869.739203,0.385432,0.397573,0.392393,0.396330,calls/second,milliseconds
1592985164,134,4869.739203,2602.729455,1027.531204,956.756991,2530.480026,3352.890097,4108.006253,4664.079635,4664.079635,4869.739203,0.382992,0.383233,0.389391,0.395269,calls/second,milliseconds
1592985174,138,4869.739203,2636.883874,1027.531204,996.748666,2596.650449,3352.890097,4651.814587,4664.079635,4664.079635,4869.739203,0.383464,0.371095,0.386488,0.394219,calls/second,milliseconds
1592985184,141,4869.739203,2726.764294,1027.531204,981.020105,2758.042098,3442.829470,4651.814587,4664.079635,4664.079635,4869.739203,0.381206,0.375532,0.386931,0.394283,calls/second,milliseconds
1592985194,146,4869.739203,2664.766978,1027.531204,1015.360917,2757.664822,3416.112838,4651.814587,4664.079635,4664.079635,4869.739203,0.384337,0.380567,0.387414,0.394353,calls/second,milliseconds
1592985204,150,4869.739203,2642.526865,1027.531204,1008.198168,2595.402419,3416.112838,4190.551595,4664.079635,4664.079635,4869.739203,0.384737,0.367559,0.384521,0.393307,calls/second,milliseconds
1592985214,154,4869.739203,2534.087109,1027.531204,985.437727,2478.801029,3318.246704,4190.551595,4651.814587,4664.079635,4869.739203,0.385116,0.387252,0.388279,0.394483,calls/second,milliseconds
1592985224,158,4869.739203,2488.001090,1027.531204,955.346421,2478.801029,3072.940409,4190.551595,4651.814587,4664.079635,4869.739203,0.385483,0.405200,0.391969,0.395652,calls/second,milliseconds
1592985234,161,4869.739203,2654.687249,1027.531204,1019.631928,2561.968829,3466.313491,4233.028013,4651.814587,4664.079635,4869.739203,0.383444,0.389689,0.388982,0.394598,calls/second,milliseconds
