t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592984824,4,3,1.543245,0,1.119157,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1592984834,8,7,3.721694,0,2.289119,4.000000,6.000000,7.000000,7.000000,7.000000,7.000000
1592984844,12,11,5.951094,0,3.422274,6.000000,9.000000,11.000000,11.000000,11.000000,11.000000
1592984854,16,15,8.303637,0,4.561206,9.000000,12.000000,15.000000,15.000000,15.000000,15.000000
1592984864,19,18,10.190522,0,5.419100,11.000000,15.000000,18.000000,18.000000,18.000000,18.000000
1592984874,24,23,13.345545,0,6.763189,14.000000,19.000000,23.000000,23.000000,23.000000,23.000000
1592984884,28,27,15.964486,0,7.828969,17.000000,23.000000,27.000000,27.000000,27.000000,27.000000
1592984894,34,33,19.991121,0,9.370212,21.000000,28.000000,32.000000,33.000000,33.000000,33.000000
1592984904,37,36,22.069120,0,10.132334,24.000000,31.000000,35.000000,36.000000,36.000000,36.000000
1592984914,41,40,24.918965,0,11.132537,27.000000,35.000000,39.000000,40.000000,40.000000,40.000000
1592984924,44,43,27.200049,0,11.889539,29.000000,37.000000,42.000000,43.000000,43.000000,43.000000
1592984934,48,47,30.277674,0,12.837911,33.000000,41.000000,46.000000,47.000000,47.000000,47.000000
1592984944,52,51,33.400619,0,13.736269,37.000000,45.000000,50.000000,51.000000,51.000000,51.000000
1592984954,56,55,36.562545,0,14.591843,40.000000,49.000000,54.000000,55.000000,55.000000,55.000000
1592984964,61,60,40.637597,0,15.621850,45.000000,54.000000,59.000000,60.000000,60.000000,60.000000
1592984974,64,63,43.170556,0,16.217136,47.000000,57.000000,62.000000,63.000000,63.000000,63.000000
1592984984,67,66,45.756515,0,16.786943,50.000000,60.000000,65.000000,66.000000,66.000000,66.000000
1592984994,71,70,49.270631,0,17.500095,54.000000,64.000000,69.000000,70.000000,70.000000,70.000000
1592985004,74,73,52.005109,0,18.009408,57.000000,67.000000,72.000000,73.000000,73.000000,73.000000
1592985014,78,77,55.746475,0,18.631273,61.000000,71.000000,76.000000,77.000000,77.000000,77.000000
1592985024,82,81,59.427836,0,19.173755,65.000000,75.000000,80.000000,81.000000,81.000000,81.000000
1592985034,86,85,63.069370,0,19.669431,69.000000,79.000000,84.000000,85.000000,85.000000,85.000000
1592985044,89,88,65.875078,0,20.024809,72.000000,82.000000,87.000000,88.000000,88.000000,88.000000
1592985054,92,91,68.770023,0,20.361374,75.000000,85.000000,90.000000,91.000000,91.000000,91.000000
1592985064,98,97,74.391133,0,20.937481,81.000000,91.000000,96.000000,97.000000,97.000000,97.000000
1592985074,101,100,77.071945,0,21.203701,84.000000,93.000000,99.000000,100.000000,100.000000,100.000000
1592985084,106,105,81.644550,0,21.652726,88.000000,98.000000,104.000000,105.000000,105.000000,105.000000
1592985094,109,108,84.485695,0,21.920197,91.000000,101.000000,107.000000,108.000000,108.000000,108.000000
1592985104,114,113,89.207055,0,22.332262,96.000000,106.000000,112.000000,113.000000,113.000000,113.000000
1592985114,116,115,91.110813,0,22.489455,98.000000,108.000000,114.000000,115.000000,115.000000,115.000000
1592985124,121,120,95.989171,0,22.853192,103.000000,113.000000,119.000000,120.000000,120.000000,120.000000
1592985134,124,123,98.924124,0,23.049871,106.000000,116.000000,122.000000,123.000000,123.000000,123.000000
1592985144,128,127,102.871134,0,23.284055,110.000000,120.000000,126.000000,127.000000,127.000000,127.000000
1592985154,132,131,106.705348,0,23.493827,114.000000,124.000000,130.000000,131.000000,131.000000,131.000000
1592985164,135,134,109.644254,0,23.645647,117.000000,127.000000,133.000000,134.000000,134.000000,134.000000
1592985174,139,138,113.624526,0,23.828253,121.000000,131.000000,137.000000,138.000000,138.000000,138.000000
1592985184,142,141,116.671678,0,23.948837,124.000000,134.000000,140.000000,141.000000,141.000000,141.000000
1592985194,147,146,121.697604,0,24.105205,129.000000,139.000000,145.000000,146.000000,146.000000,146.000000
1592985204,151,150,125.640304,0,24.212494,133.000000,143.000000,149.000000,150.000000,150.000000,150.000000
1592985214,155,154,129.484204,0,24.315726,137.000000,147.000000,153.000000,154.000000,154.000000,154.000000
1592985224,159,158,133.298108,0,24.426829,141.000000,151.000000,157.000000,158.000000,158.000000,158.000000
1592985234,162,161,136.236184,0,24.517860,144.000000,154.000000,160.000000,161.000000,161.000000,161.000000
1592985244,166,165,140.245710,0,24.626847,148.000000,158.000000,164.000000,165.000000,165.000000,165.000000
